# PC-8201A N82-BASIC Reference Manual — absolute PDF page map
# Source: docs/source/NEC8201A-BasicReference.pdf (294 pages, image-only scan, no text layer)
# Pagination resets per chapter (1-1, 2-1, APX A1-1...), so these absolute PDF
# page numbers were derived by vision-reading the centered footer of each page.
# Each chapter is preceded by a footerless divider page.
# Columns: unit_id <TAB> slug <TAB> divider_pg <TAB> first_pg <TAB> last_pg <TAB> footer_range
front	front-matter	-	1	5	cover/title/TOC(-i-..-ii-)
intro	introduction	-	6	9	-1- .. -4-
1	n82-basic-overview	10	11	19	1-1 .. 1-9
2	general-information	20	21	29	2-1 .. 2-9
3	expressions-and-operations	30	31	57	3-1 .. 3-27
4	n82-basic-instructions	58	59	211	4-1 .. 4-154
5	files	212	213	216	5-1 .. 5-4
6	machine-language-programming	217	218	219	6-1 .. 6-2
7	n82-basic-programming	220	221	228	7-1 .. 7-8
8	error-messages	229	230	245	8-1 .. 8-16
9	sample-programs	246	247	263	9-1 .. 9-17
A1	appendix-a1-reserved-words	264	265	266	APX A1-1 .. A1-2
A2	appendix-a2-error-codes	-	267	270	APX A2-1 .. A2-4
A3	appendix-a3-control-codes	-	271	272	APX A3-1 .. A3-2
A4	appendix-a4-character-codes	-	273	278	APX A4-1 .. A4-6
B	appendix-b-memory-maps	-	279	280	APX B-1 .. B-2
C	appendix-c-escape-sequences	-	281	283	APX C-1 .. C-3
D	appendix-d-glossary	-	284	287	APX D-1 .. D-4
index	index	-	288	292	INDEX-1 .. INDEX-5
back	back-cover	-	293	294	blank + NEC back cover
